"Title","Submission Target","Date","Type","First Author","Other Authors","Key (e.g. for file names)","Publisher URL (official)","url2","PDF URL (public)","Video","Video2","Supplemental","Acknowledgements","Abstract","bibtex","notes","funding"
"LibViz: Data Visualisation of the Old Library ","VSMM","2008-01-01",,"Kerstin Ruhland","Susan Bioletti, Michael Sedlmair, Carol O'Sullivan","ruhland2008vsmm",,,,,,,,,,"Best Paper Award",
"Requirements for a MDE System to Support Collaborative In-Car Communication Diagnostics","International CSCW Workshop Beyond the Laboratory","2008-01-01","Workshop Paper","Michael Sedlmair","Dominikus Baur, Sebastian Boring, Petra Isenberg, Marko Jurmu, Andreas Butz","sedlmair2008cscw",,,,,,,,,,,
"MSCar: Enhancing Message Sequence Charts with Interactivity for Analysing (Automotive) Communication Sequences","Workshop on the Layout of (Software) Engineering Diagrams (LED)","2008-01-01","Workshop Paper","Michael Sedlmair",,"sedlmair2008led","https://doi.org/10.14279/tuj.eceasst.13.170",,,,,,,"Message Sequence Charts (MSCs) are a standardized and widespread form to visually describe interactions in distributed systems. Our approach proposes the enrichment of large scaled MSCs with novel interaction and design techniques used in the field of information visualization. Additionally, we show a graphical solution to visualize parallel, multi-directed communication processes in MSCs. Instead of the common application to specify system behaviours our interactive MSCs are aimed at exploring and diagnosing dependencies in network communication in general and, regarding our special requirements, within in-car communication traces. We implemented a prototype called MSCar with Focus and Context techniques, Dynamic Path Highlighting, Details on Demand and Colour Coding to support the users' cognitive abilities. A qualitative user study on MSCar gave us
preliminary feedback and disclosed potentials of our approach.","@article{sedlmair2008mscar,
  title={MSCar: Enhancing Message Sequence Charts with interactivity for analysing (automotive) communication sequences},
  author={Sedlmair, Michael},
  journal={Electronic Communications of the EASST},
  volume={13},
  year={2008}
}",,
"A Dual-View Visualization of In-Car Communication Processes","IV","2008-07-25",,"Michael Sedlmair","Wolfgang Hintermaier, Konrad Stocker, Thortsen Büring, Andreas Butz","sedlmair2008iv","https://doi.org/10.1109/IV.2008.20",,,,,,,"With the increasing complexity of in-car communication architectures, their diagnostics have become essential for automotive development and maintenance. In order to help engineers to detect and analyze the potential sources and consequences of errors, it is crucial to provide both comprehensive and detailed insight into the communication processes and their contexts. Two important aspects of these are the dependencies and correlations between onboard functions. In this paper we present a dual-view visualization for exploring the functional dependency chains of in-car communication processes. One view presents the dependencies of hardware components using a space filling approach similar to a treemap, whereas the other view displays the functional correlations as an interactive sequence chart. The views are coupled via color coding and show the dependencies of an interactively selectable functional unit. In an expert evaluation, we assessed the benefits of using this visualization technique for in-car communication diagnostics with very positive results.","@INPROCEEDINGS{4577941,
  author={Sedlmair, Michael and Hintermaier, Wolfgang and Stocker, Konrad and Büring, Thorsten and Butz, Andreas},
  booktitle={2008 12th International Conference Information Visualisation}, 
  title={A Dual-View Visualization of In-Car Communication Processes}, 
  year={2008},
  pages={157-162},
  doi={10.1109/IV.2008.20}}
",,
"LibViz: Data Visualisation of the Old Library ","International Journal of Architectural Computing","2009-01-01",,"Kerstin Ruhland","Michael Sedlmair, Susan Bioletti, Carol O'Sullivan","ruhland2009ijac","https://doi.org/10.1260%2F147807709788549402",,,,,,,"The Old Library of Trinity College Dublin, built in 1732, is an internationally renowned research library. In recent decades it has also become a major tourist attraction in Dublin, with the display of the Book of Kells within the Old Library now drawing over half a million visitors per year. The Preservation and Conservation Department of the Library has raised concerns about the impact of the environment on the collection. The location of the building in the city centre, large visitor numbers, and the conditions within the building are putting the collection at risk. In developing a strategic plan to find solutions to these problems, the department has been assessing and documenting the current situation. This paper introduces ongoing work on a system to visualise the collected data, which includes: dust levels and dispersion, internal and external temperature and relative humidity levels, and visitor numbers in the Old Library. We are developing a user interface for which the data, originally stored in various file formats, is consolidated in a database which can be explored using a 3D virtual reconstruction of the Old Library. With this novel technique, it is also possible to compare and assess the relationships between the various datasets in context.","@article{ruhland2009libviz,
  title={Libviz: Data visualisation of the old library},
  author={Ruhland, Kerstin and O'Sullivan, C and Bioletti, SUSAN and Sedlmair, M},
  journal={International Journal of Architectural Computing},
  volume={7},
  number={1},
  pages={177--192},
  year={2009},
  publisher={SAGE Publications Sage UK: London, England}
}
",,
"User-centered Development of a Visual Exploration System for In-Car Communication","SG","2009-01-01",,"Michael Sedlmair","Benjamin Kunze, Wolfgang Hintermaier, Andreas Butz","sedlmair2009sg1","https://doi.org/10.1007/978-3-642-02115-2_9",,,,,,,"Modern premium automobiles are equipped with an increasing number of Electronic Control Units (ECUs). These ECUs are interconnected and form a complex network to provide a wide range of advanced vehicle functionality. Analyzing the flow of messages in this network and tracking down problems has become a major challenge for automotive engineers. By observing their working practices, we found that the tools they currently use are mostly text-based and largely fail to provide correlations among the enormous amount of data. We established requirements for a more appropriate (visual) tool set. We followed a user-centered approach to design several visualizations for in-car communication processes, each with a clear purpose and application scenario. Then we used low-fidelity prototypes to evaluate our ideas and to identify the “working” designs. Based on this selection, we finally implemented a prototype and conducted an expert evaluation which revealed the emergence of a novel mental model for thinking about and discussing in-car communication processes.","@InProceedings{10.1007/978-3-642-02115-2_9,
author=""Sedlmair, Michael
and Kunze, Benjamin
and Hintermaier, Wolfgang
and Butz, Andreas"",
editor=""Butz, Andreas
and Fisher, Brian
and Christie, Marc
and Kr{\""u}ger, Antonio
and Olivier, Patrick
and Ther{\'o}n, Roberto"",
title=""User-Centered Development of a Visual Exploration System for In-Car Communication"",
booktitle=""Smart Graphics"",
year=""2009"",
publisher=""Springer Berlin Heidelberg"",
address=""Berlin, Heidelberg"",
pages=""105--116"",
abstract=""Modern premium automobiles are equipped with an increasing number of Electronic Control Units (ECUs). These ECUs are interconnected and form a complex network to provide a wide range of advanced vehicle functionality. Analyzing the flow of messages in this network and tracking down problems has become a major challenge for automotive engineers. By observing their working practices, we found that the tools they currently use are mostly text-based and largely fail to provide correlations among the enormous amount of data. We established requirements for a more appropriate (visual) tool set. We followed a user-centered approach to design several visualizations for in-car communication processes, each with a clear purpose and application scenario. Then we used low-fidelity prototypes to evaluate our ideas and to identify the ``working'' designs. Based on this selection, we finally implemented a prototype and conducted an expert evaluation which revealed the emergence of a novel mental model for thinking about and discussing in-car communication processes."",
isbn=""978-3-642-02115-2""
}

",,
"Towards the Big Picture: Enriching 3D Models with Information Visualisation and Vice Versa","SG","2009-01-01",,"Michael Sedlmair","Kerstin Ruhland, Fabian Hennecke, Andreas Butz, Susan Bioletti, Carol O'Sullivan","sedlmair2009sg2","https://doi.org/10.1007/978-3-642-02115-2_3","https://link.springer.com/chapter/10.1007/978-3-642-02115-2_3","http://www.medien.ifi.lmu.de/pubdb/publications/pub/sedlmair2009sg2/sedlmair2009sg2.pdf",,,,,"Most information visualisation methods are based on abstract visual representations without any concrete manifestation in the “real world”. However, a variety of abstract datasets can indeed be related to, and hence enriched by, real-world aspects. In these cases an additional virtual representation of the 3D object can help to gain a better insight into the connection between abstract and real-world issues. We demonstrate this approach with two prototype systems that combine information visualisation with 3D models in multiple coordinated views. The first prototype involves the visualisation of in-car communication traces. The 3D model of the car serves as one view among several and provides the user with information about the car’s activities. LibViz, our second prototype, is based on a full screen 3D representation of a library building. Measured data is visualised in overlaid, semi-transparent windows to allow the user interpretation of the data in its spatial context of the library’s 3D model. Based on the two prototypes, we identify the benefits and drawbacks of the approach, investigate aspects of coordination between the 3D model and the abstract visualisations, and discuss principals for a general approach.","@InProceedings{10.1007/978-3-642-02115-2_3,
author=""Sedlmair, Michael
and Ruhland, Kerstin
and Hennecke, Fabian
and Butz, Andreas
and Bioletti, Susan
and O'Sullivan, Carol"",
editor=""Butz, Andreas
and Fisher, Brian
and Christie, Marc
and Kr{\""u}ger, Antonio
and Olivier, Patrick
and Ther{\'o}n, Roberto"",
title=""Towards the Big Picture: Enriching 3D Models with Information Visualisation and Vice Versa"",
booktitle=""Smart Graphics"",
year=""2009"",
publisher=""Springer Berlin Heidelberg"",
address=""Berlin, Heidelberg"",
pages=""27--39"",
abstract=""Most information visualisation methods are based on abstract visual representations without any concrete manifestation in the ``real world''. However, a variety of abstract datasets can indeed be related to, and hence enriched by, real-world aspects. In these cases an additional virtual representation of the 3D object can help to gain a better insight into the connection between abstract and real-world issues. We demonstrate this approach with two prototype systems that combine information visualisation with 3D models in multiple coordinated views. The first prototype involves the visualisation of in-car communication traces. The 3D model of the car serves as one view among several and provides the user with information about the car's activities. LibViz, our second prototype, is based on a full screen 3D representation of a library building. Measured data is visualised in overlaid, semi-transparent windows to allow the user interpretation of the data in its spatial context of the library's 3D model. Based on the two prototypes, we identify the benefits and drawbacks of the approach, investigate aspects of coordination between the 3D model and the abstract visualisations, and discuss principals for a general approach."",
isbn=""978-3-642-02115-2""
}

",,
"MostVis: An Interactive Visualization Supporting Automotive Engineers in MOST Catalog Exploration","IV","2009-08-04",,"Michael Sedlmair","Christian Berhold, Daniel Herrscher, Sebastian Boring, Andreas But","sedlmair2009iv","https://doi.org/10.1109/IV.2009.95",,,,,,,"The MOST bus is a current bus technology for connecting multimedia components in cars, such as radios, navigation systems, or media players. The bus functionality is described in a large hierarchically structured catalog of some 4psila000 entries. Browsing this catalog has become infeasible on paper as well as with currently used textual database interfaces. An observation of current work practices has revealed many problems and inefficiencies. We describe the (iteratively developed) design of MostVis, a visual tool for exploring MOST function catalogs, as well as an evaluation of our implemented prototype. Our design carefully adapts existing visualization techniques and combines them in a multiple coordinated view (MCV) approach to satisfy the specific needs of our target group. With this paper, we hope to provide a living example of how existing general-purpose techniques can be successfully trimmed and tailored for a very specific audience.","@INPROCEEDINGS{5190770,
  author={Sedlmair, Michael and Bernhold, Christian and Herrscher, Daniel and Boring, Sebastian and Butz, Andreas},
  booktitle={2009 13th International Conference Information Visualisation}, 
  title={MostVis: An Interactive Visualization Supporting Automotive Engineers in MOST Catalog Exploration}, 
  year={2009},
  pages={173-182},
  doi={10.1109/IV.2009.95}}
",,
"Trends in Information Visualization","LMU-MI-2010-1: Media Informatics Advanced Seminar","2010-04-01","Technical Report","Dominikus Baur","Michael Sedlmair, Raphael Wimmer, Yaxi Chen, Sara Streng, Sebastian Boring, Alexander De Luca, Andreas Butz","baur2010infovisHS",,,,,,,,"This report provides an overview of current applications and research trends in the field of
information visualization. The content ranges from classical information visualization aspects
such as network visualization, multivariate data representation and multiple coordinated
views to topics beyond the traditional scope such as aesthetics, collaboration or casual
aspects in information visualization.","@article{baurtrends,
  title={Trends in Information Visualization},
  author={Baur, Dominikus and Sedlmair, Michael and Wimmer, Raphael and Chen, Ya-Xi and Streng, Sara and Boring, Sebastian and De Luca, Alexander and Butz, Andreas}
}",,
"Collaborative Visualization on Interactive Surfaces - CoVIS '09","CoVIS '09, Workshop at Visweek","2010-04-01","Technical Report","Petra Isenberg","Michael Sedlmair, Dominikus Baur, Tobias Isenberg, Andreas Butz","isenberg2010covis",,,,,,,,"The report comprises interdisciplinary aspects form the fields of information visualization,
scientific visualization, visual analytics as well as CSCW and HCI. It is meant to help other
researchers better understand the role and the growing impact of interactive surfaces as an
emerging technology for supporting collaborative visualization and visual analytics settings.","@article{isenbergcollaborative,
  title={Collaborative Visualization on Interactive Surfaces-CoVIS'09},
  author={Isenberg, Petra and Sedlmair, Michael and Baur, Dominikus and Isenberg, Tobias and Butz, Andreas}
}
",,
